GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Proyecto Final Patrones,Creacionales.FactoryMethod.vista,ConsolaProducto,221,0,13,0,64,0,16,0,8,0
Proyecto Final Patrones,Comportamentales.Command.vista,ConsolaCommand,668,234,57,3,177,48,45,8,11,7
Proyecto Final Patrones,Creacionales.AbstractFactory.controlador,VentaControlador,13,349,7,17,4,71,7,22,0,17
Proyecto Final Patrones,Creacionales.Prototype.modelo,PromocionDosXUno,12,109,3,7,3,25,4,11,1,9
Proyecto Final Patrones,Creacionales.Prototype.modelo,RegistroPromocion,0,106,1,7,0,28,1,10,0,7
Proyecto Final Patrones,Creacionales.Prototype.modelo,Promocion,28,274,8,38,5,58,9,40,2,24
Proyecto Final Patrones,Creacionales.Prototype.modelo,PromocionCombo,3,89,1,7,1,21,2,13,1,10
Proyecto Final Patrones,Creacionales.Prototype.modelo,PromocionPorcentaje,0,67,1,7,0,16,1,10,0,7
Proyecto Final Patrones,Estructurales.Decorator.controlador,DecoratorControlador,284,0,20,0,51,0,23,0,13,0
Proyecto Final Patrones,Comportamentales.Strategy.controlador,StrategyController,0,37,0,0,0,11,0,7,0,7
Proyecto Final Patrones,Estructurales.Proxy.modelo,ImagenProductoProxy,4,215,5,19,1,73,5,21,0,14
Proyecto Final Patrones,Estructurales.Proxy.modelo,ImagenProductoReal,8,108,0,2,5,37,0,11,0,10
Proyecto Final Patrones,Comportamentales.TemplateMethod.vista,ConsolaTemplateMethod,370,162,9,0,106,43,13,5,6,5
Proyecto Final Patrones,Estructurales.Composite.controlador,InventarioController,4,69,2,8,2,23,2,10,0,7
Proyecto Final Patrones,Creacionales.FactoryMethod.controlador,ProductoControlador,0,83,0,2,0,20,0,8,0,7
Proyecto Final Patrones,Estructurales.Proxy.controlador,CatalogoController,0,103,3,11,0,25,3,11,0,7
Proyecto Final Patrones,Creacionales.Builder.vista,ConsolaFactura,390,54,16,1,95,18,19,3,8,3
Proyecto Final Patrones,Comportamentales.Strategy.modelo,CarritoCompra,0,32,0,2,0,12,0,7,0,6
Proyecto Final Patrones,Comportamentales.Strategy.modelo,Descuento2x1,0,7,0,0,0,2,0,2,0,2
Proyecto Final Patrones,Comportamentales.Strategy.modelo,Descuento3x2,0,34,0,0,0,12,0,6,0,6
Proyecto Final Patrones,Comportamentales.Strategy.modelo,DescuentoPorcentaje,0,24,0,0,0,8,0,4,0,4
Proyecto Final Patrones,Estructurales.Composite.modelo,PaquetePromocional,21,166,5,13,6,35,10,13,5,9
Proyecto Final Patrones,Estructurales.Composite.modelo,ProductoIndividual,1,67,0,0,1,22,1,13,1,13
Proyecto Final Patrones,Estructurales.Composite.modelo,Combo,20,135,1,11,5,32,5,14,4,9
Proyecto Final Patrones,Estructurales.Composite.modelo,Categoria,18,130,1,9,6,31,6,12,5,8
Proyecto Final Patrones,Comportamentales.ChainOfResponsibility.vista,ConsolaChainOfResponsibility,824,19,25,0,194,6,29,2,13,2
Proyecto Final Patrones,Comportamentales.State.vista,ConsolaState,773,22,47,0,203,7,46,2,17,2
Proyecto Final Patrones,Comportamentales.ChainOfResponsibility.modelo,DescuentoClienteFrecuente,0,81,0,2,0,16,0,5,0,4
Proyecto Final Patrones,Comportamentales.ChainOfResponsibility.modelo,SolicitudDescuento,38,56,2,0,3,20,2,10,1,10
Proyecto Final Patrones,Comportamentales.ChainOfResponsibility.modelo,ManejadorDescuento,0,23,0,2,0,6,0,4,0,3
Proyecto Final Patrones,Comportamentales.ChainOfResponsibility.modelo,DescuentoPorMonto,0,89,0,2,0,16,0,5,0,4
Proyecto Final Patrones,Comportamentales.ChainOfResponsibility.modelo,DescuentoPorCantidad,0,81,0,2,0,16,0,5,0,4
Proyecto Final Patrones,Comportamentales.ChainOfResponsibility.modelo,DescuentoCupon,0,137,1,5,0,27,1,7,0,5
Proyecto Final Patrones,Comportamentales.ChainOfResponsibility.modelo,ResultadoDescuento,28,27,2,0,4,10,2,5,1,5
Proyecto Final Patrones,Estructurales.Proxy.vista,ConsolaProxy,632,92,55,2,170,31,40,6,8,6
Proyecto Final Patrones,Comportamentales.Command.controlador,CommandController,20,120,2,2,7,30,4,10,2,10
Proyecto Final Patrones,Creacionales.FactoryMethod.modelo,ProductoPesoFactory,0,18,0,0,0,5,0,3,0,3
Proyecto Final Patrones,Creacionales.FactoryMethod.modelo,ProductoPeso,3,60,2,6,1,16,3,9,1,7
Proyecto Final Patrones,Creacionales.FactoryMethod.modelo,ProductoSimpleFactory,0,18,0,0,0,5,0,3,0,3
Proyecto Final Patrones,Creacionales.FactoryMethod.modelo,Producto,7,129,4,14,1,28,5,14,1,9
Proyecto Final Patrones,Creacionales.FactoryMethod.modelo,ProductoSimple,0,39,0,2,0,14,0,8,0,7
Proyecto Final Patrones,Comportamentales.Strategy.vista,ConsolaStrategy,762,22,33,0,166,7,33,2,13,2
Proyecto Final Patrones,Creacionales.AbstractFactory.vista,ConsolaVenta,862,0,34,0,214,0,35,0,14,0
Proyecto Final Patrones,Comportamentales.Command.modelo,AgregarProductoCommand,6,45,0,0,2,10,2,4,2,4
Proyecto Final Patrones,Comportamentales.Command.modelo,AplicarDescuentoCommand,3,37,0,0,1,10,1,4,1,4
Proyecto Final Patrones,Comportamentales.Command.modelo,Producto,0,43,0,0,0,11,0,6,0,6
Proyecto Final Patrones,Comportamentales.Command.modelo,GestorComandos,2,124,1,11,1,33,1,15,0,10
Proyecto Final Patrones,Comportamentales.Command.modelo,CarritoCompras,0,184,1,15,0,43,1,19,0,12
Proyecto Final Patrones,Comportamentales.Command.modelo,EliminarProductoCommand,6,45,0,0,2,10,2,4,2,4
Proyecto Final Patrones,Comportamentales.Command.modelo,ItemCarrito,23,27,0,0,1,9,1,5,1,5
Proyecto Final Patrones,Comportamentales.Command.modelo,VaciarCarritoCommand,0,45,0,2,0,12,0,5,0,4
Proyecto Final Patrones,Creacionales.Builder.modelo,Cliente,6,43,0,0,2,18,2,10,2,10
Proyecto Final Patrones,Creacionales.Builder.modelo,Factura,1,150,2,4,0,33,2,18,0,17
Proyecto Final Patrones,Creacionales.Builder.modelo,ItemFactura,12,60,0,6,4,17,4,7,4,4
Proyecto Final Patrones,Creacionales.Builder.modelo,Factura.Builder,0,190,2,22,0,53,2,24,0,14
Proyecto Final Patrones,Creacionales.AbstractFactory.modelo,POSGestorDevolucion,0,39,0,6,0,10,0,8,0,5
Proyecto Final Patrones,Creacionales.AbstractFactory.modelo,POSVentaFactory,0,21,0,0,0,6,0,6,0,6
Proyecto Final Patrones,Creacionales.AbstractFactory.modelo,POSValidadorStock,0,98,0,4,0,19,0,8,0,6
